,,,,,Input,,,,,,,,,,,,,,,Synthesis,,Objective 1,Objective 2,,,Objective 3
Synthesis number,Formula,MW for secondary element,MW for the third element,MW for the forth element,Precursor 1,amount of precursor 1 (mmol),Precursor 2,amount of precursor 2 (mmol),Precursor 3,amount of precursor 3 (mmol),Precursor 4,amount of precursor 4 (mmol),C2H6O amount (mL),H2O amount (mL),Gelation agent,amount (mL),Anneal temp,Annealing time (h),Wash with Actone and H2O,XRD file number,Synthesis,OP (10mA/cm2),ICP-2h (%),1h voltage ,2h voltage ,ICP-2h (%)
0616-6,Ru0.33Nb0.33Sc0.33,92.91,44.955912,,RuCl3,0.225,NbCl3,0.225,ScCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-6,C,NA,,,,
0616-7,Ru0.33Nb0.33Ti0.33,92.91,47.867,,RuCl3,0.225,NbCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0616-8,Ru0.33Ce0.33Ba0.33,140.116,137.327,,RuCl3,0.225,Ce(NO3)3,0.225,BaCl2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0616-9,Ru0.33Nb0.33Ir0.33,92.91,192.217,,RuCl3,0.225,NbCl3,0.225,IrCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-9,C,230,0.267475908,1.3719778,1.3819488,0.244065009
0616-10,Ru0.33Nb0.33Fe0.33,92.91,55.845,,RuCl3,0.225,NbCl3,0.225,FeCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-10,C,NA,,,,
0619-1,Ru0.33Ti0.33Bi0.33,47.867,208.98,,RuCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,BiCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0619-2,Ru0.33Nb0.33Bi0.33,92.91,208.98,,RuCl3,0.225,NbCl3,0.225,BiCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-2,C,N,0.293232988,1.5997934,1.5997934,0.313720274
0619-3,Ru0.33Pb0.33Ag0.33,207.2 ,107.8682,,RuCl3,0.225,PbCl2,0.225,AgNO3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0619-4,Ru0.33Mn0.33Rb0.33,54.938,85.4678,,RuCl3,0.225,Mn(NO3)2,0.225,RbCl,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-4,N,189,,1.4860708,1.5441014,
0619-5,Ru0.33Sb0.33Sc0.33,121.76,44.955912,,RuCl3,0.225,SbCl3,0.225,ScCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-5,C,N,,,,
0619-6,Ru0.33W0.33Ce0.33,183.84,140.116,,RuCl3,0.225,WCl6,0.225,Ce(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0619-7,Ru0.33Nb0.33Al0.33,92.91,26.981539,,RuCl3,0.225,NbCl3,0.225,AlCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-7,C,N,,,,
0619-8,Ru0.33La0.33Ce0.33,138.90547,140.116,,RuCl3,0.225,LaCl3,0.225,Ce(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-8,C,N,,,,
0619-9,Ru0.33W0.33Mn0.33,183.84,54.938,,RuCl3,0.225,WCl6,0.225,Mn(NO3)2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0619-9,H,373,,,,
0619-10,Ru0.33Ti0.33Mo0.33,47.867,95.95,,RuCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,MoCl5,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-1,Ru0.33Nb0.33Re0.33,92.91,186.207,,RuCl3,0.225,NbCl3,0.225,ReCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-2,Ru0.33Ti0.33Re0.33,47.867,186.207,,RuCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,ReCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-3,Ru0.33Ti0.33Fe0.33,47.867,55.845,,RuCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,FeCl2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0622-3,H,373,,,,
0622-4,Ru0.33K0.33Ce0.33,39.0983,140.116,,RuCl3,0.225,KCl,0.225,Ce(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-5,Ru0.33Zn0.33Cr0.33,65.38,51.996,,RuCl3,0.225,ZnCl2,0.225,Cr(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0622-5,C,581,,,,
0622-6,Ru0.33Er0.33Ce0.33,167.259,140.116,,RuCl3,0.225,ErCl2,0.225,Ce(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0622-6,C,N,,,,
0622-7,Ru0.33Y0.33Bi0.33,88.90584,208.98,,RuCl3,0.225,YCl3,0.225,BiCl3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0622-7,H,N,,,,
0622-8,Ru0.33Ti0.33Sn0.33,47.867,118.71,,RuCl3,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,SnCl2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-9,Ru0.33K0.33Mn0.33,39.0983,54.938,,RuCl3,0.225,KCl,0.225,Mn(NO3)2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0622-10,Ru0.33Bi0.33Ag0.33,208.98,107.8682,,RuCl3,0.225,BiCl3,0.225,AgNO3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
